
Cena dodávky - detaily podle objednávek

Čtvrtek, 7. června 2018 18:11:14

Č.obj         Cena    Množství        %DPH Datum obj. 
-----         ----    --------        ---- ---------- 
000001         444           6          15 2014-02-25 
000001         548           1          15 2014-02-25 
000001       4 444           5          15 2014-02-25 
000002         569          30           0 2014-02-27 
000002         598          40          15 2014-02-27 
000003       2 600           1           0 2014-01-29 
000003       2 600           2           0 2014-01-29 
000005         892           5          15 2014-01-10 
000005       1 092           5          15 2014-01-10 
000005       1 892           1          15 2014-01-10 
000006         892          60          15 2014-01-30 
000006       1 092          50          15 2014-01-30 
444444         569         450           0 2015-04-25 
