


Sobota, 5. prosince 2015 9:43:01

      LEVEL   DEPTNAME                               
          1   SPIFFY COMPUTER SERVICE DIV.           
          2   SUPPORT SERVICES                       
          3   BRANCH OFFICE J2                       
          3   BRANCH OFFICE I2                       
          3   BRANCH OFFICE H2                       
          3   BRANCH OFFICE G2                       
          3   BRANCH OFFICE F2                       
          3   SOFTWARE SUPPORT                       
          3   OPERATIONS                             
          2   DEVELOPMENT CENTER                     
          3   ADMINISTRATION SYSTEMS                 
          3   MANUFACTURING SYSTEMS                  
          2   INFORMATION CENTER                     
          2   PLANNING                               
