
Součty cen větších než zadaná cena v rozmezí čisel zboží

Středa, 16. prosince 2015 10:08:56

Závod    Číslo zboží        Celkem   
-----    -----------        ------   
01      00002               459,00   
01      00009               250,00   
01      00010             13000,00   
02      00005               240,00   
02      00008              3400,00   
02      00009               500,00   
02      00011               318,00   
02      00014              7000,00   
02      00018               112,00   
