
Číslování řádků v závodu

Sobota, 5. prosince 2015 21:40:33

ZAVOD   SKLAD      MNOZSTVI                 PORADI   
01      01             1,00                      1   
01      01             1,00                      2   
01      01             1,00                      3   
01      02             1,00                      4   
01      02             1,00                      5   
01      02             1,00                      6   
01      03             1,00                      7   
02      01             2,00                      1   
02      01             2,00                      2   
02      01             2,00                      3   
02      02             2,00                      4   
02      02             2,00                      5   
02      02             2,00                      6   
02      02             2,00                      7   
