
Stavy, součty za sklad a závod a celkem

Středa, 16. prosince 2015 11:27:11

Č.záv.   Č.skl.          Cena          Cena          Cena          Cena   
                       součet        průměr       minimum       maximum   
                                                                          
01       01           6967,99       2322,66             8          6500   
01       02           6751,25       2250,41             1          6500   
01       03              1,25          1,25             1             1   
01       -           13720,49       1960,07             1          6500   

02       01           3661,10       1220,36            21          3400   
02       02           7930,00       1982,50           112          7000   
02       -           11591,10       1655,87            21          7000   

-        -           25311,59       1807,97             1          7000   
