
Stavy, detail po závodech a skladech nesoučtovaný

Středa, 16. prosince 2015 11:26:07

ZAVOD   SKLAD   CZBOZI      MNOZSTVI   
01      01      00001           1,00   
01      01      00002           1,00   
01      01      00010           1,00   
01      02      00003           1,00   
01      02      00009           1,00   
01      02      00010           1,00   
01      03      00003           1,00   
02      01      00005           2,00   
02      01      00006           2,00   
02      01      00008           2,00   
02      01      00019           2,00   
02      02      00009           2,00   
02      02      00011           2,00   
02      02      00014           2,00   
02      02      00018           2,00   
02      02      00019           2,00   
