
Seznam schemat

Sobota, 5. prosince 2015 14:55:26

SCHEMA_NAME   OWNER        CREATOR      CREATION_TIMESTAMP                        SIZE   SCHEMA_TEXT            SYS_NAME        ISP   
#CGULIB       QSYS         QLPINSTALL   2014-02-10 15:45:18.0                 73728,00   -                      #CGULIB           0   
#COBLIB       QSYS         QSECOFR      2014-02-11 09:01:27.0                122880,00   -                      #COBLIB           0   
#DFULIB       QSYS         QLPINSTALL   2014-02-10 15:45:18.0                 73728,00   -                      #DFULIB           0   
#DSULIB       QSYS         QLPINSTALL   2014-02-10 15:45:18.0                 73728,00   -                      #DSULIB           0   
#LIBRARY      QSYS         QLPINSTALL   2014-02-10 15:45:34.0                 98304,00   -                      #LIBRARY          0   
#RPGLIB       QSYS         QSECOFR      2014-02-11 09:01:16.0                106496,00   -                      #RPGLIB           0   
#SDALIB       QSYS         QLPINSTALL   2014-02-10 15:45:18.0                 73728,00   -                      #SDALIB           0   
#SEULIB       QSYS         QLPINSTALL   2014-02-10 15:45:18.0                 73728,00   -                      #SEULIB           0   
AKADEMIE01    QSECOFR      QSECOFR      2015-11-02 16:30:37.0                 98304,00   -                      AKADEMIE01        0   
CL400SKO      QSECOFR      QSECOFR      1994-02-17 13:56:33.0                180224,00   -                      CL400SKO          0   
COBAS400      QSECOFR      QSECOFR      2015-09-07 17:34:20.0                344064,00   -                      COBAS400          0   
CORPDATA      VZUPKA       VZUPKA       2014-02-21 08:47:13.0                352256,00   COLLECTION - created   CORPDATA          0   
CVICENI       QSECOFR      QSECOFR      1999-01-29 14:09:17.0                114688,00   knihovna pro cviåení   CVICENI           0   
CVICENI1      QSECOFR      QSECOFR      2015-07-01 09:19:08.0                360448,00   nová knihovna pro cv   CVICENI1          0   
DATACV        QSECOFR      QSECOFR      2015-07-13 10:35:59.0                147456,00   datová knihovna pro    DATACV            0   
HOME          VZUPKA       VZUPKA       2015-01-24 20:35:09.0                 98304,00   -                      HOME              0   
INGANAL       QSECOFR      QSECOFR      2015-03-29 13:08:22.0                114688,00   -                      INGANAL           0   
