
UserDoc 

Thursday, April 5, 2018 9:14:54 AM

ZAVOD SKLAD      SOUCET      PRUMER         MIN     MAXIMUM 
01    01     -30,841.79      -10280      -45500       14199 
01    02      19,793.75        6597          23       19500 
01    03           1.25           1           1           1 
01    -      -11,046.79       -1578      -45500       19500 
02    01        3,661.1        1220          21        3400 
02    02          7,930        1982         112        7000 
02    -        11,591.1        1655          21        7000 
-     -           544.3          38      -45500       19500 
